[2026-06-06T07:55:08.671266-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:08.742223-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:08.748867-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:08.795888-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:08.879562-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:08.887944-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:08.956124-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:08.997119-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:09.000756-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:09.070094-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:09.142602-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:09.148383-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:09.199747-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:09.235727-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:09.239504-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:09.284090-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:09.313279-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:09.316291-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:09.365906-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:09.399314-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:09.408710-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:09.469223-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:14.566297-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:14.619549-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:14.622593-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:14.667371-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:14.712978-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:14.716200-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:14.741407-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:14.770801-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:14.774627-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:14.803153-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:14.854922-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:14.858821-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
