[2026-08-09T10:22:07.089585-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:22:07.484415-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:22:07.871726-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:22:11.616370-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:22:11.986506-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:22:12.370316-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:22:12.743160-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:22:13.108825-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T10:22:13.492616-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'vs.notas' in 'SELECT', archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 262, codigo: 42S22 [] []
[2026-08-09T13:15:37.701324-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
